Company,Ticker,Industry Bucket,Category,Sub-Category
AAR Corp.,AIR,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
AEVEX Corp.,AVEX,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
"AIRO Group Holdings, Inc.",AIRO,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
"AeroVironment, Inc.",AVAV,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
Air Industries Group,AIRI,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
"Applied Aerospace & Defense, Inc.",AADX,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
Archer Aviation Inc.,ACHR,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
Astronics Corporation,ATRO,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
"Axon Enterprise, Inc.",AXON,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
"BETA Technologies, Inc.",BETA,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
"BWX Technologies, Inc.",BWXT,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
BiomX Inc.,PHGE,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
Byrna Technologies Inc.,BYRN,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
CAE Inc.,CAE,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
"CPI Aerostructures, Inc.",CVU,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
"Cadre Holdings, Inc.",CDRE,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
"Coda Octopus Group, Inc.",CODA,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
Curtiss-Wright Corporation,CW,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
DEFSEC Technologies Inc.,DFSC,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
DPC Holdings PLC,DPC,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
DUKE Robotics Corp.,DUKR,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
Ducommun Incorporated,DCO,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
EHang Holdings Limited,EH,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
Elbit Systems Ltd.,ESLT,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
Embraer S.A.,EMBJ,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
"Eve Holding, Inc.",EVEX,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
FTAI Aviation Ltd.,FTAI,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
Firefly Aerospace Inc.,FLY,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
GE Aerospace,GE,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
